r_index,r_index_converted,g_r
332,1.66,0
333,1.665,0
334,1.67,0
335,1.675,0
336,1.68,0
337,1.685,0
338,1.69,0
339,1.695,0
340,1.7,0
341,1.705,0
342,1.71,0
343,1.715,0
344,1.72,0
345,1.725,0
346,1.73,0
347,1.735,0
348,1.74,0
349,1.745,0
350,1.75,0
351,1.755,0
352,1.76,0
353,1.765,0
354,1.77,0
355,1.775,0
356,1.78,0
357,1.785,0
358,1.79,0
359,1.795,0
360,1.8,0
361,1.805,0
362,1.81,0
363,1.815,0
364,1.82,0
365,1.825,0
366,1.83,0
367,1.835,0
368,1.84,0
369,1.845,0
370,1.85,0
371,1.855,0
372,1.86,0
373,1.865,0
374,1.87,0
375,1.875,0
376,1.88,0
377,1.885,0
378,1.89,0
379,1.895,0
380,1.9,0
381,1.905,0
382,1.91,0
383,1.915,0
384,1.92,0
385,1.925,0
386,1.93,0
387,1.935,0
388,1.94,0
389,1.945,0
390,1.95,0
391,1.955,0
392,1.96,0
393,1.965,0
394,1.97,0
395,1.975,0
396,1.98,0
397,1.985,0
398,1.99,0
399,1.995,0
400,2,0
401,2.005,0
402,2.01,0
403,2.015,0
404,2.02,0
405,2.025,0
406,2.03,0
407,2.035,0
408,2.04,0
409,2.045,0
410,2.05,0
411,2.055,0
412,2.06,0
413,2.065,0
414,2.07,0
415,2.075,0
416,2.08,0
417,2.085,0
418,2.09,0
419,2.095,0
420,2.1,0
421,2.105,0
422,2.11,0
423,2.115,0
424,2.12,0
425,2.125,0
426,2.13,0
427,2.135,0
428,2.14,0
429,2.145,0
430,2.15,0
431,2.155,0
432,2.16,0
433,2.165,0
434,2.17,0
435,2.175,0
436,2.18,0
437,2.185,0
438,2.19,0
439,2.195,0
440,2.2,0
441,2.205,0
442,2.21,0
443,2.215,0
444,2.22,0
445,2.225,0
446,2.23,0
447,2.235,0
448,2.24,0
449,2.245,0
450,2.25,0
451,2.255,0
452,2.26,0
453,2.265,0
454,2.27,0
455,2.275,0
456,2.28,0
457,2.285,0
458,2.29,0
459,2.295,0
460,2.3,0
461,2.305,0
462,2.31,0
463,2.315,0
464,2.32,0
465,2.325,0
466,2.33,0
467,2.335,0
468,2.34,0
469,2.345,0
470,2.35,0
471,2.355,0
472,2.36,0
473,2.365,0
474,2.37,0
475,2.375,0
476,2.38,0
477,2.385,0
478,2.39,0
479,2.395,0
480,2.4,0
481,2.405,0
482,2.41,0
483,2.415,0
484,2.42,0
485,2.425,0
486,2.43,0
487,2.435,0
488,2.44,0
489,2.445,0
490,2.45,0
491,2.455,0
492,2.46,0
493,2.465,0
494,2.47,0
495,2.475,0
496,2.48,0
497,2.485,0
498,2.49,0
499,2.495,0
500,2.5,0
501,2.505,0
502,2.51,0
503,2.515,0
504,2.52,0
505,2.525,0
506,2.53,0
507,2.535,0
508,2.54,0
509,2.545,0
510,2.55,0
511,2.555,0
512,2.56,0
513,2.565,0
514,2.57,0
515,2.575,0
516,2.58,0
517,2.585,0
518,2.59,0
519,2.595,0
520,2.6,0
521,2.605,0
522,2.61,0
523,2.615,0
524,2.62,0
525,2.625,0
526,2.63,0
527,2.635,0
528,2.64,0
529,2.645,0
530,2.65,0
531,2.655,0
532,2.66,0
533,2.665,0
534,2.67,0
535,2.675,0
536,2.68,0
537,2.685,0
538,2.69,0
539,2.695,0
540,2.7,0
541,2.705,0
542,2.71,0
543,2.715,0
544,2.72,0
545,2.725,0
546,2.73,0
547,2.735,0
548,2.74,0
549,2.745,0
550,2.75,0
551,2.755,0
552,2.76,0
553,2.765,0
554,2.77,0
555,2.775,0
556,2.78,0
557,2.785,0
558,2.79,0
559,2.795,0
560,2.8,0
561,2.805,0
562,2.81,0
563,2.815,0
564,2.82,0
565,2.825,0
566,2.83,0
567,2.835,0
568,2.84,0
569,2.845,0
570,2.85,0
571,2.855,0
572,2.86,0
573,2.865,0
574,2.87,0
575,2.875,0
576,2.88,0
577,2.885,0
578,2.89,0
579,2.895,0
580,2.9,0
581,2.905,0
582,2.91,0
583,2.915,0
584,2.92,0
585,2.925,0
586,2.93,0
587,2.935,0
588,2.94,0
589,2.945,0
590,2.95,0
591,2.955,0
592,2.96,0
593,2.965,0
594,2.97,0
595,2.975,0
596,2.98,0
597,2.985,0
598,2.99,0
599,2.995,0
600,3,0
601,3.005,0
602,3.01,0
603,3.015,0
604,3.02,0
605,3.025,0
606,3.03,0
607,3.035,0
608,3.04,0
609,3.045,0
610,3.05,0
611,3.055,0
612,3.06,0
613,3.065,0
614,3.07,0
615,3.075,0
616,3.08,0
617,3.085,0
618,3.09,0
619,3.095,0
620,3.1,0
621,3.105,0
622,3.11,0
623,3.115,0
624,3.12,0
625,3.125,0
626,3.13,0
627,3.135,0
628,3.14,0
629,3.145,0
630,3.15,0
631,3.155,0
632,3.16,0
633,3.165,0
634,3.17,0
635,3.175,0
636,3.18,0
637,3.185,0
638,3.19,0
639,3.195,0
640,3.2,0
641,3.205,0
642,3.21,0
643,3.215,0
644,3.22,0
645,3.225,0
646,3.23,0
647,3.235,0
648,3.24,0
649,3.245,0
650,3.25,0
651,3.255,0
652,3.26,0
653,3.265,0
654,3.27,0
655,3.275,0
656,3.28,0
657,3.285,0
658,3.29,0
659,3.295,0
660,3.3,0
661,3.305,0
662,3.31,0
663,3.315,0
664,3.32,0
665,3.325,0
666,3.33,0
667,3.335,0
668,3.34,0
669,3.345,0
670,3.35,0
671,3.355,0
672,3.36,0
673,3.365,0
674,3.37,0
675,3.375,0
676,3.38,0
677,3.385,0
678,3.39,0
679,3.395,0
680,3.4,0
681,3.405,0
682,3.41,0
683,3.415,0
684,3.42,0
685,3.425,0
686,3.43,0
687,3.435,0
688,3.44,0
689,3.445,0
690,3.45,0
691,3.455,0
692,3.46,0
693,3.465,0
694,3.47,0
695,3.475,0
696,3.48,0
697,3.485,0
698,3.49,0
699,3.495,0
700,3.5,0
701,3.505,0
702,3.51,0
703,3.515,0
704,3.52,0
705,3.525,0
706,3.53,0
707,3.535,0
708,3.54,0
709,3.545,0
710,3.55,0
711,3.555,0
712,3.56,0
713,3.565,0
714,3.57,0
715,3.575,0
716,3.58,0
717,3.585,0
718,3.59,0
719,3.595,0
720,3.6,0
721,3.605,0
722,3.61,0
723,3.615,0
724,3.62,0
725,3.625,0
726,3.63,0
727,3.635,0
728,3.64,0
729,3.645,0
730,3.65,0
731,3.655,0
732,3.66,0
733,3.665,0
734,3.67,0
735,3.675,0
736,3.68,0
737,3.685,0
738,3.69,0
739,3.695,0
740,3.7,0
741,3.705,0
742,3.71,0
743,3.715,0
744,3.72,0
745,3.725,0
746,3.73,0
747,3.735,0
748,3.74,0
749,3.745,0
750,3.75,0
751,3.755,0
752,3.76,0
753,3.765,0
754,3.77,0
755,3.775,0
756,3.78,0
757,3.785,0
758,3.79,0
759,3.795,0
760,3.8,0
761,3.805,0
762,3.81,0
763,3.815,0
764,3.82,0
765,3.825,0
766,3.83,0
767,3.835,0
768,3.84,0
769,3.845,0
770,3.85,0
771,3.855,0
772,3.86,0
773,3.865,0
774,3.87,0
775,3.875,0
776,3.88,0
777,3.885,0
778,3.89,0
779,3.895,0
780,3.9,0
781,3.905,0
782,3.91,0
783,3.915,0
784,3.92,0
785,3.925,0
786,3.93,0
787,3.935,0
788,3.94,0
789,3.945,0
790,3.95,0
791,3.955,0
792,3.96,0
793,3.965,0
794,3.97,0
795,3.975,0
796,3.98,0
797,3.985,0
798,3.99,0
799,3.995,0
800,4,0
801,4.005,0
802,4.01,0
803,4.015,0
804,4.02,0
805,4.025,0
806,4.03,0
807,4.035,0
808,4.04,0
809,4.045,0
810,4.05,0
811,4.055,0
812,4.06,0
813,4.065,0
814,4.07,0
815,4.075,0
816,4.08,0
817,4.085,0
818,4.09,0
819,4.095,0
820,4.1,0
821,4.105,0
822,4.11,0
823,4.115,0
824,4.12,0
825,4.125,0
826,4.13,0
827,4.135,0
828,4.14,0
829,4.145,0
830,4.15,0
831,4.155,0
832,4.16,0
833,4.165,0
834,4.17,0
835,4.175,0
836,4.18,0
837,4.185,0
838,4.19,0
839,4.195,0
840,4.2,0
841,4.205,0
842,4.21,0
843,4.215,0
844,4.22,0
845,4.225,0
846,4.23,0
847,4.235,0
848,4.24,0
849,4.245,0
850,4.25,0
851,4.255,0
852,4.26,0
853,4.265,0
854,4.27,0
855,4.275,0
856,4.28,0
857,4.285,0
858,4.29,0
859,4.295,0
860,4.3,0
861,4.305,0
862,4.31,0
863,4.315,0
864,4.32,0
865,4.325,0
866,4.33,0
867,4.335,0
868,4.34,0
869,4.345,0
870,4.35,0
871,4.355,0
872,4.36,0
873,4.365,0
874,4.37,0
875,4.375,0
876,4.38,0
877,4.385,0
878,4.39,0
879,4.395,0
880,4.4,0
881,4.405,0
882,4.41,0
883,4.415,0
884,4.42,0
885,4.425,0
886,4.43,0
887,4.435,0
888,4.44,0
889,4.445,0
890,4.45,0
891,4.455,0
892,4.46,0
893,4.465,0
894,4.47,0
895,4.475,0
896,4.48,0
897,4.485,0
898,4.49,0
899,4.495,0
900,4.5,0
901,4.505,0
902,4.51,0
903,4.515,0
904,4.52,0
905,4.525,0
906,4.53,0
907,4.535,0
908,4.54,0
909,4.545,0
910,4.55,0
911,4.555,0
912,4.56,0
913,4.565,0
914,4.57,0
915,4.575,0
916,4.58,0
917,4.585,0
918,4.59,0
919,4.595,0
920,4.6,0
921,4.605,0
922,4.61,0
923,4.615,0
924,4.62,0
925,4.625,0
926,4.63,0
927,4.635,0
928,4.64,0
929,4.645,0
930,4.65,0
931,4.655,0
932,4.66,0
933,4.665,0
934,4.67,0
935,4.675,0
936,4.68,0
937,4.685,0
938,4.69,0
939,4.695,0
940,4.7,0
941,4.705,0
942,4.71,0
943,4.715,0
944,4.72,0
945,4.725,0
946,4.73,0
947,4.735,0
948,4.74,0
949,4.745,0
950,4.75,0
951,4.755,0
952,4.76,0
953,4.765,0
954,4.77,0
955,4.775,0
956,4.78,0
957,4.785,0
958,4.79,0
959,4.795,0
960,4.8,0
961,4.805,0
962,4.81,0
963,4.815,0
964,4.82,0
965,4.825,0
966,4.83,0
967,4.835,0
968,4.84,0
969,4.845,0
970,4.85,0
971,4.855,0
972,4.86,0
973,4.865,0
974,4.87,0
975,4.875,0
976,4.88,0
977,4.885,0
978,4.89,0
979,4.895,0
980,4.9,0
981,4.905,0
982,4.91,0
983,4.915,0
984,4.92,0
985,4.925,0
986,4.93,0
987,4.935,0
988,4.94,0
989,4.945,0
990,4.95,0
991,4.955,0
992,4.96,0
993,4.965,0
994,4.97,0
995,4.975,0
996,4.98,0
997,4.985,0
998,4.99,0
999,4.995,0
1000,5,0
1001,5.005,0
1002,5.01,0
1003,5.015,0
1004,5.02,0
1005,5.025,0
1006,5.03,0
1007,5.035,0
1008,5.04,0
1009,5.045,0
1010,5.05,0
1011,5.055,0
1012,5.06,0
1013,5.065,0
1014,5.07,0
1015,5.075,0
1016,5.08,0
1017,5.085,0
1018,5.09,0
1019,5.095,0
1020,5.1,0
1021,5.105,0
1022,5.11,0
1023,5.115,0
1024,5.12,0
1025,5.125,0
1026,5.13,0
1027,5.135,0
1028,5.14,0
1029,5.145,0
1030,5.15,0
1031,5.155,0
1032,5.16,0
1033,5.165,0
1034,5.17,0
1035,5.175,0
1036,5.18,0
1037,5.185,0
1038,5.19,0
1039,5.195,0
1040,5.2,0
1041,5.205,0
1042,5.21,0
1043,5.215,0
1044,5.22,0
1045,5.225,0
1046,5.23,0
1047,5.235,0
1048,5.24,0
1049,5.245,0
1050,5.25,0
1051,5.255,0
1052,5.26,0
1053,5.265,0
1054,5.27,0
1055,5.275,0
1056,5.28,0
1057,5.285,0
1058,5.29,0
1059,5.295,0
1060,5.3,0
1061,5.305,0
1062,5.31,0
1063,5.315,0
1064,5.32,0
1065,5.325,0
1066,5.33,0
1067,5.335,0
1068,5.34,0
1069,5.345,0
1070,5.35,0
1071,5.355,0
1072,5.36,0
1073,5.365,0
1074,5.37,0
1075,5.375,0
1076,5.38,0
1077,5.385,0
1078,5.39,0
1079,5.395,0
1080,5.4,0
1081,5.405,0
1082,5.41,0
1083,5.415,0
1084,5.42,0
1085,5.425,0
1086,5.43,0
1087,5.435,0
1088,5.44,0
1089,5.445,0
1090,5.45,0
1091,5.455,0
1092,5.46,0
1093,5.465,0
1094,5.47,0
1095,5.475,0
1096,5.48,0
1097,5.485,0
1098,5.49,0
1099,5.495,0
1100,5.5,0
1101,5.505,0
1102,5.51,0
1103,5.515,0
1104,5.52,0
1105,5.525,0
1106,5.53,0
1107,5.535,0
1108,5.54,0
1109,5.545,0
1110,5.55,0
1111,5.555,0
1112,5.56,0
1113,5.565,0
1114,5.57,0
1115,5.575,0
1116,5.58,0
1117,5.585,0
1118,5.59,0
1119,5.595,0
1120,5.6,0
1121,5.605,0
1122,5.61,0
1123,5.615,0
1124,5.62,0
1125,5.625,0
1126,5.63,0
1127,5.635,0
1128,5.64,0
1129,5.645,0
1130,5.65,0
1131,5.655,0
1132,5.66,0
1133,5.665,0
1134,5.67,0
1135,5.675,0
1136,5.68,0
1137,5.685,0
1138,5.69,0
1139,5.695,0
1140,5.7,0
1141,5.705,0
1142,5.71,0
1143,5.715,0
1144,5.72,0
1145,5.725,0
1146,5.73,0
1147,5.735,0
1148,5.74,0
1149,5.745,0
1150,5.75,0
1151,5.755,0
1152,5.76,0
1153,5.765,0
1154,5.77,0
1155,5.775,0
1156,5.78,0
1157,5.785,0
1158,5.79,0
1159,5.795,0
1160,5.8,0
1161,5.805,0
1162,5.81,0
1163,5.815,0
1164,5.82,0
1165,5.825,0
1166,5.83,0
1167,5.835,0
1168,5.84,0
1169,5.845,0
1170,5.85,0
1171,5.855,0
1172,5.86,0
1173,5.865,0
1174,5.87,0
1175,5.875,0
1176,5.88,0
1177,5.885,0
1178,5.89,0
1179,5.895,0
1180,5.9,0
1181,5.905,0
1182,5.91,0
1183,5.915,0
1184,5.92,0
1185,5.925,0
1186,5.93,0
1187,5.935,0
1188,5.94,0
1189,5.945,0
1190,5.95,0
1191,5.955,0
1192,5.96,0
1193,5.965,0
1194,5.97,0
1195,5.975,0
1196,5.98,0
1197,5.985,0
1198,5.99,0
1199,5.995,0
1200,6,0
1201,6.005,0
1202,6.01,0
1203,6.015,0
1204,6.02,0
1205,6.025,0
1206,6.03,0
1207,6.035,0
1208,6.04,0
1209,6.045,0
1210,6.05,0
1211,6.055,0
1212,6.06,0
1213,6.065,0
1214,6.07,0
1215,6.075,0
1216,6.08,0
1217,6.085,0
1218,6.09,0
1219,6.095,0
1220,6.1,0
1221,6.105,0
1222,6.11,0
1223,6.115,0
1224,6.12,0
1225,6.125,0
1226,6.13,0
1227,6.135,0
1228,6.14,0
1229,6.145,0
1230,6.15,0
1231,6.155,0
1232,6.16,0
1233,6.165,0
1234,6.17,0
1235,6.175,0
1236,6.18,0
1237,6.185,0
1238,6.19,0
1239,6.195,0
1240,6.2,0
1241,6.205,0
1242,6.21,0
1243,6.215,0
1244,6.22,0
1245,6.225,0
1246,6.23,0
1247,6.235,0
1248,6.24,0
1249,6.245,0
1250,6.25,0
1251,6.255,0
1252,6.26,0
1253,6.265,0
1254,6.27,0
1255,6.275,0
1256,6.28,0
1257,6.285,0
1258,6.29,0
1259,6.295,0
1260,6.3,0
1261,6.305,0
1262,6.31,0
1263,6.315,0
1264,6.32,0
1265,6.325,0
1266,6.33,0
1267,6.335,0
1268,6.34,0
1269,6.345,0
1270,6.35,0
1271,6.355,0
1272,6.36,0
1273,6.365,0
1274,6.37,0
1275,6.375,0
1276,6.38,0
1277,6.385,0
1278,6.39,0
1279,6.395,0
1280,6.4,0
1281,6.405,0
1282,6.41,0
1283,6.415,0
1284,6.42,0
1285,6.425,0
1286,6.43,0
1287,6.435,0
1288,6.44,0
1289,6.445,0
1290,6.45,0
1291,6.455,0
1292,6.46,0
1293,6.465,0
1294,6.47,0
1295,6.475,0
1296,6.48,0
1297,6.485,0
1298,6.49,0
1299,6.495,0
1300,6.5,0
1301,6.505,0
1302,6.51,0
1303,6.515,0
1304,6.52,0
1305,6.525,0
1306,6.53,0
1307,6.535,0
1308,6.54,0
1309,6.545,0
1310,6.55,0
1311,6.555,0
1312,6.56,0
1313,6.565,0
1314,6.57,0
1315,6.575,0
1316,6.58,0
1317,6.585,0
1318,6.59,0
1319,6.595,0
1320,6.6,0
1321,6.605,0
1322,6.61,0
1323,6.615,0
1324,6.62,0
1325,6.625,0
1326,6.63,0
1327,6.635,0
1328,6.64,0
1329,6.645,0
1330,6.65,0
1331,6.655,0
1332,6.66,0
1333,6.665,0
1334,6.67,0
1335,6.675,0
1336,6.68,0
1337,6.685,0
1338,6.69,0
1339,6.695,0
1340,6.7,0
1341,6.705,0
1342,6.71,0
1343,6.715,0
1344,6.72,0
1345,6.725,0
1346,6.73,0
1347,6.735,0
1348,6.74,0
1349,6.745,0
1350,6.75,0
1351,6.755,0
1352,6.76,0
1353,6.765,0
1354,6.77,0
1355,6.775,0
1356,6.78,0
1357,6.785,0
1358,6.79,0
1359,6.795,0
1360,6.8,0
1361,6.805,0
1362,6.81,0
1363,6.815,0
1364,6.82,0
1365,6.825,0
1366,6.83,0
1367,6.835,0
1368,6.84,0
1369,6.845,0
1370,6.85,0
1371,6.855,0
1372,6.86,0
1373,6.865,0
1374,6.87,0
1375,6.875,0
1376,6.88,0
1377,6.885,0
1378,6.89,0
1379,6.895,0
1380,6.9,0
1381,6.905,0
1382,6.91,0
1383,6.915,0
1384,6.92,0
1385,6.925,0
1386,6.93,0
1387,6.935,0
1388,6.94,0
1389,6.945,0
1390,6.95,0
1391,6.955,0
1392,6.96,0
1393,6.965,0
1394,6.97,0
1395,6.975,0
1396,6.98,0
1397,6.985,0
1398,6.99,0
1399,6.995,0
1400,7,0
1401,7.005,0
1402,7.01,0
1403,7.015,0
1404,7.02,0
1405,7.025,0
1406,7.03,0
1407,7.035,0
1408,7.04,0
1409,7.045,0
1410,7.05,0
1411,7.055,0
1412,7.06,0
1413,7.065,0
1414,7.07,0
1415,7.075,0
1416,7.08,0
1417,7.085,0
1418,7.09,0
1419,7.095,0
1420,7.1,0
1421,7.105,0
1422,7.11,0
1423,7.115,0
1424,7.12,0
1425,7.125,0
1426,7.13,0
1427,7.135,0
1428,7.14,0
1429,7.145,0
1430,7.15,0
1431,7.155,0
1432,7.16,0
1433,7.165,0
1434,7.17,0
1435,7.175,0
1436,7.18,0
1437,7.185,0
1438,7.19,0
1439,7.195,0
1440,7.2,0
1441,7.205,0
1442,7.21,0
1443,7.215,0
1444,7.22,0
1445,7.225,0
1446,7.23,0
1447,7.235,0
1448,7.24,0
1449,7.245,0
1450,7.25,0
1451,7.255,0
1452,7.26,0
1453,7.265,0
1454,7.27,0
1455,7.275,0
1456,7.28,0
1457,7.285,0
1458,7.29,0
1459,7.295,0
1460,7.3,0
1461,7.305,0
1462,7.31,0
1463,7.315,0
1464,7.32,0
1465,7.325,0
1466,7.33,0
1467,7.335,0
1468,7.34,0
1469,7.345,0
1470,7.35,0
1471,7.355,0
1472,7.36,0
1473,7.365,0
1474,7.37,0
1475,7.375,0
1476,7.38,0
1477,7.385,0
1478,7.39,0
1479,7.395,0
1480,7.4,0
1481,7.405,0
1482,7.41,0
1483,7.415,0
1484,7.42,0
1485,7.425,0
1486,7.43,0
1487,7.435,0
1488,7.44,0
1489,7.445,0
1490,7.45,0
1491,7.455,0
1492,7.46,0
1493,7.465,0
1494,7.47,0
1495,7.475,0
1496,7.48,0
1497,7.485,0
1498,7.49,0
1499,7.495,0
1500,7.5,0
1501,7.505,0
1502,7.51,0
1503,7.515,0
1504,7.52,0
1505,7.525,0
1506,7.53,0
1507,7.535,0
1508,7.54,0
1509,7.545,0
1510,7.55,0
1511,7.555,0
1512,7.56,0
1513,7.565,0
1514,7.57,0
1515,7.575,0
1516,7.58,0
1517,7.585,0
1518,7.59,0
1519,7.595,0
1520,7.6,0
1521,7.605,0
1522,7.61,0
1523,7.615,0
1524,7.62,0
1525,7.625,0
1526,7.63,0
1527,7.635,0
1528,7.64,0
1529,7.645,0
1530,7.65,0
1531,7.655,0
1532,7.66,0
1533,7.665,0
1534,7.67,0
1535,7.675,0
1536,7.68,0
1537,7.685,0
1538,7.69,0
1539,7.695,0
1540,7.7,0
1541,7.705,0
1542,7.71,0
1543,7.715,0
1544,7.72,0
1545,7.725,0
1546,7.73,0
1547,7.735,0
1548,7.74,0
1549,7.745,0
1550,7.75,0
1551,7.755,0
1552,7.76,0
1553,7.765,0
1554,7.77,0
1555,7.775,0
1556,7.78,0
1557,7.785,0
1558,7.79,0
1559,7.795,0
1560,7.8,0
1561,7.805,0
1562,7.81,0
1563,7.815,0
1564,7.82,0
1565,7.825,0
1566,7.83,0
1567,7.835,0
1568,7.84,0
1569,7.845,0
1570,7.85,0
1571,7.855,0
1572,7.86,0
1573,7.865,0
1574,7.87,0
1575,7.875,0
1576,7.88,0
1577,7.885,0
1578,7.89,0
1579,7.895,0
1580,7.9,0
1581,7.905,0
1582,7.91,0
1583,7.915,0
1584,7.92,0
1585,7.925,0
1586,7.93,0
1587,7.935,0
1588,7.94,0
1589,7.945,0
1590,7.95,0
1591,7.955,0
1592,7.96,0
1593,7.965,0
1594,7.97,0
1595,7.975,0
1596,7.98,0
1597,7.985,0
1598,7.99,0
1599,7.995,0
1600,8,0
1601,8.005,0
1602,8.01,0
1603,8.015,0
1604,8.02,0
1605,8.025,0
1606,8.03,0
1607,8.035,0
1608,8.04,0
1609,8.045,0
1610,8.05,0
1611,8.055,0
1612,8.06,0
1613,8.065,0
1614,8.07,0
1615,8.075,0
1616,8.08,0
1617,8.085,0
1618,8.09,0
1619,8.095,0
1620,8.1,0
1621,8.105,0
1622,8.11,0
1623,8.115,0
1624,8.12,0
1625,8.125,0
1626,8.13,0
1627,8.135,0
1628,8.14,0
1629,8.145,0
1630,8.15,0
1631,8.155,0
1632,8.16,0
1633,8.165,0
1634,8.17,0
1635,8.175,0
1636,8.18,0
1637,8.185,0
1638,8.19,0
1639,8.195,0
1640,8.2,0
1641,8.205,0
1642,8.21,0
1643,8.215,0
1644,8.22,0
1645,8.225,0
1646,8.23,0
1647,8.235,0
1648,8.24,0
1649,8.245,0
1650,8.25,0
1651,8.255,0
1652,8.26,0
1653,8.265,0
1654,8.27,0
1655,8.275,0
1656,8.28,0
1657,8.285,0
1658,8.29,0
1659,8.295,0
1660,8.3,0
1661,8.305,0
1662,8.31,0
1663,8.315,0
1664,8.32,0
